"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\package-lock.json", "JSON", 0, 18002, 0, 0, 0, 0, 0, 0, 0, 1, 18003
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\public\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 23, 1, 42
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\public\manifest.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\assets\add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\assets\copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\assets\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\assets\display.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\assets\hide.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\components\card\Card.module.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\components\card\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
